date,north_area_ft2,south_area_ft2,north_volume_ft3,south_volume_ft3
2011-09-25,14077565056.804884,22926643154.389053,197023153452.86795,364762441047.0531
2011-09-26,14171444983.682287,22963717627.214836,198014772704.4632,365452131979.9174
2011-09-27,14065184023.29287,22913551437.7311,196883871954.45486,364534094606.05347
2011-09-28,14077565056.804884,22913551437.7311,197023153452.86795,364534094606.05347
2011-09-29,14088889988.161049,22939225313.04747,197166203058.15872,364992732621.42334
2011-09-30,14050043961.854067,22889935692.543976,196741632481.56592,364075640638.03455
2011-10-01,14002225409.511602,22863620903.662334,196185526941.63824,363617372664.9193
2011-10-02,13964806657.747854,22838223207.224,195763611108.22757,363160292928.8787
2011-10-03,13905068765.17117,22798224738.870953,195484634640.20767,362474017806.799
2011-10-04,13905068765.17117,22783973409.450817,195484634640.20767,362246743074.5715
2011-10-05,13874821011.114826,22344066937.383812,195068867588.9533,355475652046.7296
2011-10-06,14238126299.003223,23012444747.576576,198723904551.77344,366366223213.8062
2011-10-07,14171444983.682287,22851515931.358433,198014772704.4632,363387774563.1759
2011-10-08,14116364631.421902,22926643154.389053,197447920191.89536,364762441047.0531
2011-10-09,14027298282.367823,22889935692.543976,196465797114.14777,364075640638.03455
2011-10-10,14027298282.367823,22913551437.7311,196465797114.14777,364534094606.05347
2011-10-11,14088889988.161049,22926643154.389053,197166203058.15872,364762441047.0531
2011-10-12,14050043961.854067,22950820680.895695,196741632481.56592,365221167158.12823
2011-10-13,14027298282.367823,22939225313.04747,196465797114.14777,364992732621.42334
2011-10-14,14039421253.595287,22950820680.895695,196604241451.74362,365221167158.12823
2011-10-15,14065184023.29287,22976093725.786495,196883871954.45486,365681070205.0791
2011-10-16,14129617881.791103,23060875341.544716,197587589232.1813,367288655549.4012
2011-10-17,14141647458.934906,23036772339.704697,197730775280.72662,366827142877.1049
2011-10-18,14157894884.393648,23012444747.576576,197871256856.05023,366366223213.8062
2011-10-19,14116364631.421902,23012444747.576576,197447920191.89536,366366223213.8062
2011-10-20,14088889988.161049,23049337822.847122,197166203058.15872,367058828045.5262
2011-10-21,14100478682.182516,23023974898.40602,197305059936.08685,366597406439.0679
2011-10-22,14088889988.161049,23060875341.544716,197166203058.15872,367288655549.4012
2011-10-23,14088889988.161049,23049337822.847122,197166203058.15872,367058828045.5262
2011-10-24,14141647458.934906,23098568434.15905,197730775280.72662,367982204155.9478
2011-10-25,14382616278.175957,23175332507.62283,200155833029.7683,369372185503.7941
2011-10-26,14366539125.13624,23275084309.81199,200013737905.9248,371231667735.25775
2011-10-27,14027298282.367823,23060875341.544716,196465797114.14777,367288655549.4012
2011-10-28,14002225409.511602,23023974898.40602,196185526941.63824,366597406439.0679
2011-10-29,13990177179.60322,23023974898.40602,196043699931.01468,366597406439.0679
2011-10-30,14012780719.415855,23049337822.847122,196323908609.98315,367058828045.5262
2011-10-31,14050043961.854067,23072660857.28749,196741632481.56592,367520427309.166
2011-11-01,14323387071.93878,23349176804.134308,199581671599.25784,372625038277.89606
2011-11-02,14116364631.421902,23136775978.912155,197447920191.89536,368675835768.10767
2011-11-03,14002225409.511602,23098568434.15905,196185526941.63824,367982204155.9478
2011-11-04,14116364631.421902,23123889619.184383,197447920191.89536,368445156900.38354
2011-11-05,14116364631.421902,23162302880.833134,197447920191.89536,369139055909.4402
2011-11-06,14002225409.511602,23072660857.28749,196185526941.63824,367520427309.166
2011-11-07,14157894884.393648,23225356519.104076,197871256856.05023,370300892078.9423
2011-11-08,14050043961.854067,23123889619.184383,196741632481.56592,368445156900.38354
2011-11-09,13990177179.60322,23072660857.28749,196043699931.01468,367520427309.166
2011-11-10,13990177179.60322,23012444747.576576,196043699931.01468,366366223213.8062
2011-11-11,14039421253.595287,23000189968.119087,196604241451.74362,366137156566.62885
2011-11-12,14050043961.854067,23023974898.40602,196741632481.56592,366597406439.0679
2011-11-13,14050043961.854067,23023974898.40602,196741632481.56592,366597406439.0679
2011-11-14,14100478682.182516,23049337822.847122,197305059936.08685,367058828045.5262
2011-11-15,14157894884.393648,23123889619.184383,197871256856.05023,368445156900.38354
2011-11-16,14129617881.791103,23098568434.15905,197587589232.1813,367982204155.9478
2011-11-17,14050043961.854067,23049337822.847122,196741632481.56592,367058828045.5262
2011-11-18,14183567947.38717,23136775978.912155,198154582270.4548,368675835768.10767
2011-11-19,14183567947.38717,23148877579.02863,198154582270.4548,368908291696.7526
2011-11-20,14116364631.421902,23136775978.912155,197447920191.89536,368675835768.10767
2011-11-21,14088889988.161049,23123889619.184383,197166203058.15872,368445156900.38354
2011-11-22,14116364631.421902,23123889619.184383,197447920191.89536,368445156900.38354
2011-11-23,14157894884.393648,23136775978.912155,197871256856.05023,368675835768.10767
2011-11-24,14171444983.682287,23175332507.62283,198014772704.4632,369372185503.7941
2011-11-25,14354192529.730589,23300396243.36344,199868670982.13605,371691293107.7079
2011-11-26,14199976511.485336,23199186942.593925,198298657638.05466,369836248258.3587
2011-11-27,14183567947.38717,23175332507.62283,198154582270.4548,369372185503.7941
2011-11-28,14183567947.38717,23199186942.593925,198154582270.4548,369836248258.3587
2011-11-29,14183567947.38717,23263221891.9243,198154582270.4548,370997622512.6727
2011-11-30,14340277210.234913,23337666975.968227,199726654544.7388,372392245968.95544
2011-12-01,14489406430.86825,23690004845.598877,201310239252.69785,378975711696.3668
